// overflow areas start at 449000, with 100 lines for each scenario starting at 
// 449000 + (scenarioNo - 1) * 100

//
// Scenario One
//

444827 "<BLUE>阿里斯塔格拉斯：诅咒你们这群没有信仰的畜生！阿波罗会用那天火烧得你们浑身流脓长疮！爱勒提亚会让你们的妻子失去生育能力！"
444828 "<YELLOW>阿耳忒弥西亚：我要率领攻城技师登陆。然后，好戏才刚刚开始。"
444829 "<YELLOW>阿耳忒弥西亚：工兵们，给我挖！就当我们是要从冥界救出欧律狄刻！"
444830 "<ORANGE>达提斯：要是波斯大王的所有臣民都能享受这份乐趣就好了。阿尔塔弗涅斯，我们必须保护好这些工兵。"
444831 "<YELLOW>阿耳忒弥西亚：有一条工兵地道需要维修！"
444832 "<YELLOW>阿耳忒弥西亚：所有人听令，修好那条破损的地道！"
444833 "<YELLOW>阿耳忒弥西亚：一条破损的地道塌了，快点修复它！"
444834 "<YELLOW>阿耳忒弥西亚：拿起备用的十字镐，我们必须修好那条地道。"
444835 "<YELLOW>阿耳忒弥西亚：拿起你们的铲子，修好那条地道。"
444836 "<BLUE>阿里斯塔格拉斯：拿起武器，敌人正在试图破坏城墙！"
444837 "<BLUE>阿里斯塔格拉斯：外城墙失守了，兄弟们，撤退！"
444838 "<YELLOW>阿耳忒弥西亚：我有一位工程师，他很乐意为你建造你前所未见的最具破坏力的攻城器械。只要把资源备齐给我就行。"
444839 "<YELLOW>阿耳忒弥西亚：前进！将米利都夷为平地。"
444840 "<YELLOW>阿耳忒弥西亚：这些攻城器械巧夺天工，真是让人惊叹！"
444841 "<YELLOW>阿耳忒弥西亚：我觉得是亚述人发明了这些器械。"
444842 "<YELLOW>阿耳忒弥西亚：你的攻城器械已准备就绪，阿尔塔弗涅斯。"
444843 "<YELLOW>阿耳忒弥西亚：还请您善加利用，总督。"
444844 "<BLUE>阿里斯塔格拉斯：他们攻进城了！ "
444845 "<YELLOW>阿耳忒弥西亚：我的舰队被击败了！你究竟是怎么搞的？"
444846 "<BLUE>阿里斯塔格拉斯：天父宙斯啊！请善待您谦卑的仆人！只要让我活下来，我就…一定为您建造有史以来最雄伟的圣殿：柱子要用大理石的，再来一座象牙嵌板的雕像，一切如您所愿！ "
444847 "<BLUE>阿里斯塔格拉斯：天啊，好疼啊！那是…噢，哈得斯，那是我的肝。"
444848 "<ORANGE>阿尔塔弗涅斯：阿里斯塔格拉斯，你和你的谎言终归难逃正义的审判，正如所有骗子总有被揭发的那一天。"
444849 "<ORANGE>达提斯：一场漂亮的胜仗，我的朋友。我过去认为你不过是一介文官，但你已然证明自己是一名真正的战士。你的兄弟一定会为你自豪。"
444850 "<ORANGE>阿尔塔弗涅斯：过奖了，达提斯。不过我敢说，我的兄弟不会因此而骄傲。不，我们和希腊人的恩怨还远未结束…"
444851 "6. 叛徒之死"
444852 "公元前 494 年，米利都"
444853 "希腊叛军准备在米利都进行最后的抵抗。波斯人打算通过海军和攻城军队的联合进攻，最终击溃他们的意志。"
444854 "迈乌斯的军事执政官"
444855 "雇佣兵"
444856 "狄奥尼修斯"
444857 "爱奥尼亚舰队"
444858 "迈乌斯"
444859 "皮拉"
444860 "雇佣兵"
444861 "迪迪马"
444862 "阿波罗圣殿"
444863 "雇佣兵营地"
444864 "拉德岛"
444865 "- 摧毁沿海村庄的强化塔楼。"
444866 "- 摧毁沿海村庄的强化塔楼来协助阿耳忒弥西亚。"
444867 "- 击败雇佣兵。"
444868 "- 为雇佣兵摧毁迈乌斯的塔。"
444869 "- 击败雇佣兵，安全通过迈乌斯。"
444870 "- 击败雇佣兵，安全通过迈乌斯"
444871 "- 摧毁迈乌斯的塔，将城市交给雇佣兵，他们将在新基地为你服务。"
444872 "+ 摧毁拉德岛的造船厂。"
444873 "- 贿赂萨摩斯人：向爱奥尼亚舰队进贡 <gold> 黄金。"
444874 "+ 摧毁米利都的 <Forts>/3 座堡垒。"
444875 "- 摧毁迪迪马的阿波罗圣殿，或放过它。"
444876 "- 摧毁迪迪马的阿波罗圣殿，或放过它。摧毁圣殿可能会使米利都的守卫者士气低落，但这种亵渎可能会产生其他后果..."
444877 "- 杀死阿里斯塔格拉斯。"
444878 "- 保卫工兵隧道，直到城墙被攻破。"
444879 "- 摧毁沿海村庄的强化塔楼，获得一座海军基地。"
444880 "- 向阿耳忒弥西亚进贡 <Artemisia trib> 黄金，换取攻城单位。"
444881 "+ 摧毁 <Shipyards>/<ShipyardsTotal> 爱奥尼亚舰队造船厂。"
444882 "+ 杀死阿里斯塔格拉斯。\n他躲在米利都的其中一座堡垒内。"
444883 "已掠夺补给基地！"
444884 "- 摧毁米利都的 3 个补给基地。"
444885 "- 摧毁米利都的 <Bases>/3 个补给基地。"
444886 "+ 摧毁 <Shipyards>/<ShipyardsTotal> 爱奥尼亚舰队造船厂，以便开始攻城。"
444887 "- 为雇佣兵摧毁迈乌斯的 <Towers>/<TowerTotal> 座塔。"
444888 "+ 带领 <UnitReq> 个单位到标旗区域，以开始攻城。"
444889 "- 摧毁迪迪马的圣殿。"
444890 "- 摧毁迪迪马的圣殿以打击米利都人，尽管达提斯劝告不要这样..."
444891 "- 贿赂萨摩斯船只：向爱奥尼亚舰队进贡 <gold> 黄金，以使他们许多最强大的船只放弃战斗。"
444892 "- 向阿耳忒弥西亚进贡 <SiegeGold> 黄金以获得攻城武器。"
444893 "向阿耳忒弥西亚进贡以获得攻城武器！"
444894 "- 在翰林院研究火焰之箭，以解锁利维坦攻城船。"
444895 "- 在造船厂训练利维坦。"
444896 "1. 在本剧本中，你可以升级到帝王时代。\n\n2. 标准攻城单位无法攻破米利都的城墙。阿耳忒弥西亚会提供工兵来破坏城墙，但你必须先清除希腊舰队，让她登陆。\n\n3. 你有两座不同的海军建筑。港口训练经济船和侦察船。造船厂训练军舰。\n\n4. 利维坦是帝王时代的一种远程攻城舰。要解锁它，需要在翰林院研究火焰之箭。\n\n5. 捕鱼船可以从牡蛎中收集黄金，你可以在海上找到牡蛎。"



//
//Scenario Seven 
//

445000 "<ORANGE>阿尔塔弗涅斯：我来看看为什么我哥哥如此偏爱你，达提斯。愿阿胡拉马兹达赐福于你，去实现骗子阿里斯塔格拉斯做不到的事情，拿下纳克索斯岛。"
445001 "<ORANGE>达提斯：朋友，你的祝福让我倍感温暖。我不仅要拿下纳克索斯岛，还要杀光那些烧毁圣殿的雅典人。谁都无法阻止我！"
445002 "<ORANGE>达提斯：纳克索斯岛的居民们，请接受我的忠告：心甘情愿地宣誓效忠波斯大王，倘若他大发天威，后果将不堪设想。"
445003 "<RED>纳克索斯岛的军事执政官：我们曾经击退过波斯战船，这一次依然做得到。"
445004 "<ORANGE>达提斯：你们现在是波斯大王的臣民。只有你们忠诚与他，他也会以仁慈相待。"
445005 "<ORANGE>达提斯：纳克索斯岛人！别再躲在山上的藏身处了，都下来吧！现在，你们归波斯大王统治。"
445006 "<ORANGE>阿尔塔弗涅斯：达提斯，这个基地很适合开展行动。愿风神伐由一路护佑你乘风破浪。"
445007 "<ORANGE>阿尔塔弗涅斯：多亏了你对提洛的怀柔策略，我们兵不血刃地取得了胜利。建造一座合适的大厅来容纳使节，也许你通过游说就可以拿下其他岛屿。"
445008 "<ORANGE>阿尔塔弗涅斯：只要你开口，我就会派遣一名使节，他们能说会道，一句话就能化敌为友。"
445009 "<ORANGE>达提斯：提洛人，不要躲着我，我不会毁坏你们的圣所。看啊，我带来了乳香作为给阿波罗的祭品。"
445010 "<ORANGE>阿尔塔弗涅斯：波斯大王为你们送来了援助…还有他的剩菜剩饭。"
445011 "<ORANGE>达提斯：阿尔塔弗涅斯，这是国王能赐予的最高荣誉！"
445012 "<ORANGE>达提斯：特纳斯岛上的居民们，你们是想把这座依山而建的城市献给波斯，还是非要我用你们的鲜血洗刷这里的山坡？"
445013 "<ORANGE>达提斯：安德罗斯人，我不想用鲜血弄脏你们物产丰富的渔场。但如果你们执意抵抗，就休怪我在天黑前把你们的尸体从码头上推到海里。"
445014 "<ORANGE>达提斯：帕罗斯岛人，你们采石场上崭新的白色大理石让我倾慕已久，别逼我用你们的血弄脏这些宝贝。"
445015 "<ORANGE>达提斯：卡里斯托斯人，丰收之神得墨忒耳对你们很眷顾，让你们拥有这么多牛羊。不过，她即将见证你们像牛羊一样任人宰割。"
445016 "<ORANGE>达提斯：凯阿岛上的居民们，放下你们手中的武器，我们会让你们照料好梯田，再给波斯大王进贡。"
445017 "<ORANGE>达提斯：特纳斯遍地都是淡水泉，刚好能为我们的士兵解渴。"
445018 "<ORANGE>达提斯：据我所知，你们安德罗斯人特别崇拜酒神。难怪你们战斗时像是一群酒鬼。"
445019 "<ORANGE>阿尔塔弗涅斯：我期待看到用帕罗斯岛上精美的大理石来装饰我的宫殿。"
445020 "<ORANGE>达提斯：现在，卡里斯托斯岛上的牛可以犒劳我们勇敢的战士们。"
445021 "<ORANGE>阿尔塔弗涅斯：我听说凯阿岛上的居民祭拜天狼星。看起来，这只天上的看门狗也不怎么称职。"
445022 "<ORANGE>阿尔塔弗涅斯：纳克索斯岛上的居民们，你们最好识相一点，交出土地和淡水。那样的话，我们之前发生过的一切不愉快从此一笔勾销。"
445023 "<ORANGE>阿尔塔弗涅斯：特纳斯岛上的居民们，在丰沛山泉水的浇灌下，你们献上的土地和淡水变得更加甜蜜。"
445024 "<ORANGE>达提斯：安德罗斯山谷里土地肥沃，淡水丰沛。你们应该用它们来取悦波斯大王。"
445025 "<ORANGE>达提斯：请回禀波斯大王，我已经从帕罗斯岛人手里得到了土地和淡水。他们甚至还准备将这里精美的大理石送到苏萨。"
445026 "<ORANGE>阿尔塔弗涅斯：凯阿岛能够提供土地和淡水，它将作为我们毗邻阿提卡的一个重要盟友。"
445027 "<ORANGE>达提斯：我们的动作要快，趁着岛上居民还没有组织起来抵抗。"
445028 "<ORANGE>阿尔塔弗涅斯：竟然以忤逆命令为荣，真是愚蠢！"
445029 "<YELLOW>阿耳忒弥西亚：达提斯，你以为我会让你出尽风头吗？帮我站稳脚跟，然后我就能抓到我们的宿敌，狄奥尼修斯。"
445030 "<ORANGE>达提斯：你还是和同名的神灵一样，喜欢追逐猎物的感觉。"
445031 "<YELLOW>阿耳忒弥西亚：太棒了，达提斯！朝中应该多几个像你这样的人。现在，我要朝着四个风向献祭四头山羊，然后去追杀狄奥尼修斯。"
445032 "<YELLOW>阿耳忒弥西亚：你真是一点忙都帮不上。我不会再帮你了，你自己接着干吧。"
445033 "<BLUE>狄奥尼修斯：听着，兄弟们！我跟你们说过，当海盗有钱赚。现在，看看海神波塞冬给我们带来了什么：一群满载财宝的波斯舰队！"
445034 "<BLUE>狄奥尼修斯：够了！规划一条向西的航线，我们应该去劫掠那些富得流油的迦太基商人，而不是跟波斯战船硬碰硬。"
445035 "<ORANGE>达提斯：阿胡拉马兹达庇佑，我们终于剿灭了锡罗斯岛上的所有海盗。"
445036 "<ORANGE>达提斯：我的天呐，这些海盗还真是一天都没闲着。取回他们偷走的战利品。"
445037 "<ORANGE>达提斯：干得好，兄弟们。但是我们的征服之旅才刚刚开始，我们要拿下埃维亚岛剩下的部分，然后进攻雅典。"
445038 "<ORANGE>阿尔塔弗涅斯：达提斯，愿阿胡拉马兹达赐予你力量。我要献祭一只乳白色的羔羊。待我完成征服大业后，到萨迪斯来找我，我们一起品尝山珍海味。"
445039 "7. 土地和淡水"
445040 "公元前 490 年，爱琴海"
445041 "波斯大王下令对所有支持爱奥尼亚人叛乱者进行报复。他的最高统帅达提斯带领一支强大的舰队穿越爱琴海群岛。"
445042 "特纳斯"
445043 "帕罗斯岛"
445044 "卡里斯托斯"
445045 "安德罗斯"
445046 "米科诺斯岛"
445047 "使者大厅"
445048 "皇家使者"
445049 "提洛"
445050 "凯阿岛"
445051 "基斯诺斯岛"
445052 "锡罗斯岛"
445053 "海盗宝藏"
445054 "伊卡洛斯"
445055 "+ 建立一处岛屿基地：摧毁米科诺斯岛上的 <Towers>/3 座塔。"
445056 "- 摧毁纳克索斯岛的所有堡垒以获得丰厚奖励。"
445057 "- <YELLOW> 摧毁基斯诺斯岛的堡垒，时间不超过：%d。"
445058 "- 摧毁城门，帮助阿耳特弥斯。"
445059 "- 在提洛建造使者大厅。"
445060 "- 在使者大厅招募一名皇家使者。"
445061 "- 通过武力征服或使者征服其他岛屿。"
445062 "- 如要获得帕罗斯岛、特纳斯和安德罗斯作为盟友：你需要派遣一名皇家使者前往他们的城镇中心，或在每座岛屿上建造一座堡垒。"
445063 "+ 攻击希腊大陆：摧毁卡里斯托斯的所有堡垒和城镇中心。"
445064 "+ 不要让卡里斯托斯以世界奇观获胜。"
445065 "- 摧毁狄奥尼修斯的堡垒。"
445066 "- 摧毁海盗宝藏，并夺取战利品。"
445067 "- 击败狄奥尼修斯的旗舰。"
445068 "生产<b>皇家使者<b> (<cost>)\n非战斗单位，只要靠近敌人的圣殿，就能将他们招降为盟友。\n请注意，皇家使者无法用来夺取卡里斯托斯或纳克索斯岛。\n<hp> <attack> <armor> <piercearmor> <range>"
445069 "村民们现在可以建造一座使者大厅。"
445070 "+ 攻击希腊大陆：摧毁卡里斯托斯的所有堡垒。"
445071 "- 通过摧毁他们的堡垒占领其他岛屿。"
445072 "- 将使者带到标记的圣殿，以和平方式招降岛屿 (纳克索斯岛和卡里斯托斯除外)。"
445073 "+ 将使者带到提洛。"
445074 "- 带达提斯前往提洛的圣殿，劝说岛上的人加入你的阵营。"
445075 "希腊人"
445076 "埃雷特里亚人"
445077 "1. 你的目标是到达希腊大陆并征服卡里斯托斯。击败其他敌人并非必要，但会让你的任务变得更容易完成。\n\n2. 通过摧毁敌人的堡垒来征服敌人。\n\n3. 或者，你也可以在使者大厅训练一名使者，将其带到标记的敌方圣殿附近，劝说他们和平投降。这些单位成本非常昂贵，所以，如果你选择训练他们，就好好保护他们！请注意，这些使者无法用来夺取卡里斯托斯或纳克索斯岛。\n\n4. 使用丰富的鱼类和牡蛎来维持你的经济。\n\n5. 利维坦是帝王时代的一种远程攻城舰。要解锁它，需要在翰林院研究火焰之箭。这样你就可以从海上摧毁堡垒。"
455078 "波斯大王赐予你第二次机会！"
455079 "在使者大厅训练皇家使者。使者可以在不使用武力的情况下招降岛屿。"
455080 "- 把达提斯带到提洛岛。-"
455081 "建造<b>使者大厅<b>\n用于训练皇家使者的特殊建筑。\n<hp> <attack> <armor> <piercearmor> <range> <garrison>"
445082 "          或"


//
//Scenario Eight
//

445200 "<ORANGE>达提斯：将埃维亚岛的城市一个个点燃。让雅典人看看等待着他们的将是什么。"
445201 "<AQUA>米太亚德：我们需要集结所有能够召集的人手，地米斯托克利。你的说服力无人能敌。请尽你所能召集人手，然后与我们在马拉松平原会合。口令是“救主宙斯”。"
445202 "<BLUE>地米斯托克利：阿里司提戴斯此刻肯定已经在马拉松吟诵荷马史诗了…快，兄弟们，我们的时间不多了。"
445203 "<GREY>女祭司：啊，地米斯托克利，我听说你是全雅典最聪明的人。不过，连狡诈的奥德修斯偶尔也寻求神明的帮助。给我带些山羊来，我要把它们献祭给你选择的神。"
445204 "<GREY>女祭司：告诉我，地米斯托克利，我要把这些山羊献祭给哪一位神？"
445205 "<GREY>女祭司：得知你对好战的阿瑞斯忠诚，你的步兵们定将倍受鼓舞。"
445206 "<GREY>女祭司：得知你对赠予马匹的波塞冬虔诚，你的骑兵定将倍受鼓舞。"
445207 "<GREY>女祭司：得知你对持金弓的阿耳忒弥斯虔诚，你的弓箭手定将倍受鼓舞。"
445208 "<PURPLE>奥罗波斯市长：只要大狼欧鲁克勒斯还在我们城市里游荡，我们的士兵就不会丢下他们的妻子和孩子不管。击败这头野兽，我们的长矛便会任你差遣。"
445209 "<BLUE>地米斯托克利：做了这么多苦力活，我开始觉得自己像赫拉克勒斯了，而且这头野兽的牙口绝不比涅墨亚狮子差。让我们把这张兽皮带回奥罗波斯吧。"
445210 "<PURPLE>奥罗波斯市长：他回来了！就像勇敢的赫拉克勒斯一样，他身披野兽的皮毛回来了！这些被选中的人将与你同行，而我们的其余部队将向马拉松进军。"
445211 "<PURPLE>帕勒涅市长：地米斯托克利将军！我们渴望加入战斗，但我们的城镇受到了强盗的威胁。我们不能放任不管！"
445212 "<PURPLE>帕勒涅市长：谢谢你，地米斯托克利。我们会向马拉松进军。但请带上这几个护卫，以防再遇到恶棍…"
445213 "<YELLOW>奥多曼蒂雇佣兵：拉姆诺斯人！给我们应得的报酬，否则我们就把你们饿死！"
445214 "<PURPLE>墨兰提俄斯：Eis korakas，你们这群狗杂种！地米斯托克利将军会拯救我们的！"
445215 "<BLUE>地米斯托克利：大家都冷静点，我相信我们能和平解决这个问题..."
445216 "<YELLOW>奥多曼蒂雇佣兵：要么你补偿我们，要么地米斯托克利补偿我们，不然我们就把你们都杀了。"
445217 "<YELLOW>奥多曼蒂雇佣兵：这样就可以了。兄弟们，我们离开这里吧...波斯人要屠杀这些蠢货了。"
445218 "<PURPLE>墨兰提俄斯：啊，你已经解决了那些满身虱子的恶棍。现在，带我去雅典吧！哦，谢谢你。"
445219 "<BLUE>地米斯托克利：不用客气。下次雇佣佣兵的时候，我劝你还是付钱的好。"
445220 "<PURPLE>墨兰提俄斯：你知道，地米斯托克利，大家都说你很狡猾，甚至能骗过赫耳墨斯，但你也是名优秀的战士。我们马拉松见！"
445221 "<BLUE>地米斯托克利：完了，墨兰提俄斯已死。看来，我们不能指望他的支持了。"
445222 "<PURPLE>司菲都斯贵妇人：啊，地米斯托克利。但愿我们能帮助你…但最近我们镇上最神圣的圣物墨涅斯透斯之盾被盗，士兵们被吓坏了。如果能找回盾牌，也许他们就能恢复勇气…"
445223 "<BLUE>地米斯托克利：在那里，伙计们，我看到了被盗的圣物！"
445224 "<BLUE>地米斯托克利：让我们把盾牌带回司菲都斯，让他们的士兵重拾墨涅斯透斯的勇气。"
445225 "<PURPLE>司菲都斯贵妇人：Euai，Euai！盾已经找回来了！兄弟们，还在等什么？快去马拉松！"
445226 "<BLUE>地米斯托克利：我不会告诉他们，阿卡奈人、普拉提亚人和厄琉西斯人也声称拥有墨涅斯透斯之盾…"
445227 "<AQUA>米太亚德：我们最优秀的跑步者费迪皮迪兹准备从其他城市寻求援助。地米斯托克利，我们需要你护送他一段路程。"
445228 "<BLUE>地米斯托克利：我们会为你扫清道路的，费迪皮迪兹。希望你已经做好了准备。"
445229 "<BLUE>地米斯托克利：赫耳墨斯将指引你前进，费迪皮迪兹。 "
445230 "<BLUE>地米斯托克利：Aiboi，费迪皮迪兹倒下了。"
445231 "<GREEN>雇佣兵队长：把那些闪闪发光的猫头鹰拿来，我的士兵会很乐意为你战斗。"
445232 "<GREEN>雇佣兵队长：看看照在阁楼上的光芒，德拉克马…那是世界上最美丽的景象。"
445233 "<BLUE>地米斯托克利：你们这些家伙怎么迷路了？我希望你们的战斗技能比你们的方向感更强。"
445234 "<BLUE>地米斯托克利：卡里斯托斯的幸存者们！加入我的队伍，伙计们，我会让你们有复仇的机会。"
445235 "<AQUA>米太亚德：地米斯托克利，我们中有亲波斯者。他们宁愿把我们出卖给波斯人，也不愿站出来战斗。在海岸沿线要保持警戒，留心是否有人发送信号。"
445236 "<BLUE>地米斯托克利：在那儿！干掉那些亲波斯者！"
445237 "<AQUA>米太亚德：所有背叛雅典的人都得死。"
445238 "<BLUE>地米斯托克利：我们已经阻止了背叛，但或许，我们自己发送一些假信号，就可以给波斯人制造一些混乱。"
445239 "<BLUE>地米斯托克利：我们已经准备好建造我们自己的灯塔了。去海岸吧！"
445240 "<AQUA>阿里司提戴斯：这是地米斯托克利的典型作风。他不准备好好和波斯人打一场辉煌的战役，却把时间花在了计谋和欺骗上。"
445241 "<AQUA>阿提卡村民：救命！救命！就在前面，他们在劫持我们的村民！ "
445242 "<AQUA>阿提卡村民：谢谢你，先生，谢谢！把这些存放在村庄仓库里的武器都拿走吧。"
445243 "<AQUA>阿提卡村民：帮帮我们，地米斯托克利！他们抓住了我的家人！"
445244 "<AQUA>阿提卡村民：谢谢你，地米斯托克利。我们家世代都是铁匠，让我们把这些精良的护胫甲送给你作为报答吧。"
445245 "<AQUA>米太亚德：阿玛林索斯已经沦陷了！天啊，波斯人正在迅速地占领埃维亚岛。"
445246 "<AQUA>米太亚德：波斯人已经攻占了斯堤拉，那里的紫色染料如今已与鲜血混为一体。他们几乎完成了对埃维亚岛的征服！"
445247 "<AQUA>米太亚德：哦，天啊，坚固的埃雷特里亚已经沦陷。波斯人很快就会来到我们这里。"
445248 "<BLUE>地米斯托克利：我听到信号了。前往马拉松！"
445249 "<ORANGE>达提斯：勇士们，磨砺你们的剑锋吧！你们将化身成为波斯大王的怒火，势不可挡！你们将迅捷如风，凶猛如兽，无情无畏！ "
445250 "<AQUA>阿里司提戴斯：幸会，地米斯托克利。我希望你能放下我们之间的分歧。在议会里搞暗算是政治手段，但在这里，那就是叛国。"
445251 "<AQUA>米太亚德：站好队，伙计们！站好队，听我指挥！"
445252 "<AQUA>米太亚德：雅典人！今天，你们的敌人远离家乡，被迫来到这里为一个从未见过的国王效命。但是你们，是在养育你们、庇护你们妻子和孩子的城市里战斗！现在，为了雅典，冲啊！"
445253 "<ORANGE>达提斯：弓兵！放箭！"
445254 "<AQUA>阿里司提戴斯：波斯狗贼，这片土地永远不会屈服于你们的统治！"
445255 "<ORANGE>达提斯：今日之战已无胜算，退回船上！"
445256 "<ORANGE>达提斯：哦，密特拉…不要让我死在这片乱石荒原，这儿离尼萨亚的白马那么遥远…"
445257 "<AQUA>米太亚德：雅典娜，见证我们的胜利吧！愿波斯大王的宫殿里挤满了哀怨的寡妇。他再也不会来袭扰我们的海岸了！ "
445258 "<BLUE>地米斯托克利：我担心要阻止波斯国王可能需要不止一场战斗…"
445259 "8. 马拉松之战"
445260 "公元前 490 年，阿提卡"
445261 "在波斯人逼近阿提卡时，老谋深算的雅典将军地米斯托克利力争集结尽可能多的兵力。"
445262 "米太亚德"
445263 "地米斯托克利"
445264 "雇佣兵队长"
445265 "阿里司提戴斯"
445266 "欧鲁克勒斯"
445267 "马拉松"
445268 "女祭司"
445269 "奥罗波斯"
445270 "帕勒涅"
445271 "拉姆诺斯"
445272 "雅典"
445273 "墨涅斯透斯之盾"
445274 "司菲都斯"
445275 "费迪皮迪兹"
445276 "阿玛林索斯"
445277 "斯堤拉"
445278 "埃维亚岛"
445279 "埃雷特里亚"
445280 "希腊城市"
445281 "厄琉西斯"
445282 "希腊弓兵"
445283 "轻装步兵"
445284 "贵族骑兵"
445285 "雇佣兵营地"
445286 "奥多曼蒂人雇佣兵帐篷"
445287 "强盗营地"
445288 "+ 地米斯托克利必须活着。"
445289 "+ 击败波斯人！"
445290 "+ 完成次要目标，为马拉松之战赢得军队和加成。"
445291 "+ 米太亚德必须活着。"
445292 "- 将 <Goats>/10 头山羊献给女祭司。"
445293 "- 找到并杀死大狼欧鲁克勒斯。"
445294 "- 让地米斯托克利返回奥罗波斯，以获得他们的支持。"
445295 "- 摧毁 <Tents>/4 座奥多曼蒂人雇佣兵帐篷以夺取拉姆诺斯。"
445296 "- 护送墨兰提俄斯前往雅典娜。\n将地米斯托克利带到墨兰提俄斯所在位置，即可开始执行任务。"
445297 "- 摧毁 <Tents>/4 个强盗营地以夺取帕勒涅。"
445298 "- 找到墨涅斯透斯之盾并归还给司菲都斯。"
445299 "- 将墨涅斯透斯之盾 (圣物推车) 归还给司菲都斯。"
445300 "- 将地米斯托克利带到雅典的费迪皮迪兹那里。"
445301 "- 护送费迪皮迪兹前往厄琉西斯。\n选择费迪皮迪兹以开始。"
445302 "- 摧毁 <Fires>/5 个亲波斯者发出的信号。"
445303 "- 找到木材并点燃迷惑性的烽火信号。"
445304 "- 寻找木材制作假信号旗。"
445305 "- 打败亲波斯者。"
445306 "- 前往奥罗波斯北部海滩，设置假信号。"
445307 "- 在大战开始之前，尽可能争取到更多支持。"
445308 "- 从 <Free Athenians>/1 个强盗营地救出雅典人。"
445309 "- 从 <Free Athenians>/2 个强盗营地救出雅典人。"
445310 "- 在雇佣兵营地雇用雇佣兵。"
445311 "将地米斯托克利移动到你想要选择的护卫面前。"
445312 "- 在女祭司圣殿选择一个光环。"
445313 "- 在女祭司圣殿中为地米斯托克利选择一个光环效果。选择后，可让地米斯托克利强化附近的骑兵、步兵或弓兵。"
445314 "- 摧毁 <Ram Destroyed>/5 辆奥多曼蒂人雇佣兵冲车以终结对拉姆诺斯的围攻。"
445315 "+ 将地米斯托克利和他的士兵带到马拉松，进行最后的决战。"
445316 "骑兵/箭船光环 I"
445317 "选择<b>骑兵/箭船光环 I<b>\n赋予地米斯托克利一个光环效果，该效果将在陆地上时增强附近<b>骑兵<b>单位，当地米斯托克利在海上时增强<b>箭船<b>。"
445317_perth "赋予地米斯托克利一个光环效果，该效果将在陆地上时增强附近骑兵，当地米斯托克利在海上时增强箭船。"
445318 "步兵/单列桨座战船光环 I"
445319 "选择<b>步兵/单列桨座战船光环 I<b>\n赋予地米斯托克利一个光环效果，该效果将在陆地上时增强附近<b>步兵<b>单位，当地米斯托克利在海上时增强<b>单列桨座战船<b>。"
445319_perth "赋予地米斯托克利一个光环效果，该效果将在陆地上时增强附近步兵，当地米斯托克利在海上时增强单列桨座战船。"
445320 "弓兵/小艇光环 I"
445321 "选择<b>弓兵/小艇光环 I<b>\n赋予地米斯托克利一个光环效果，该效果将在陆地上时增强附近<b>弓兵<b>单位，当地米斯托克利在海上时增强<b>小艇<b>。"
445321_perth "赋予地米斯托克利一个光环效果，该效果将在陆地上时增强附近弓兵，当地米斯托克利在海上时增强小艇。"
445322 "- 收到骑兵/箭船光环。-"
445323 "- 已收到步兵/单列桨座战船光环。-"
445324 "- 收到弓兵/小艇光环。-"
445325 "- 你已经拥有墨涅斯透斯之盾。-"
445326 "- 增加步兵和骑兵的攻击力。-"
445327 "- 强化步兵和骑兵的护甲。-"
445328 "- 你的假信号欺骗了波斯人！-"
445329 "- 已掠夺黄金。-"
445330 "- 费迪皮迪兹找到援军！-"
445331 "+ 护送墨兰提俄斯前往雅典。将地米斯托克利带到墨兰提俄斯面前，即可开始护送。"
445332 "墨兰提俄斯"
445333 "将地米斯托克利带到墨兰提俄斯所在位置，即可开始护送任务。"
445334 "选择费迪皮迪兹，即可开始护送任务。"
445335 "+ 将地米斯托克利移动到你想要选择的保镖面前。"
445336 "无法无天的恶棍"
445337 "- 找出亲波斯者。"
445338 "- 在最终大战开始之前，尽全力争取到阿提卡更多人的支持。每次成功完成任务后，你的军队在最终大战中的战力都会得到提升。"
445339 "- 让地米斯托克利返回帕勒涅，以获得他们的支持。"
445340 "- 将地米斯托克利带到拉姆诺斯城内的墨兰提俄斯。"
445341 "- 护送墨兰提俄斯前往雅典。"
445342 "- 护送费迪皮迪兹前往厄琉西斯。"
445343 "- 找到沿岸不忠的亲波斯者。"
445344 "+ 探索阿提卡。完成任务，为即将到来的战斗赢得军队和加成。"
445345 "+ 在马拉松比遇见米太亚德。"
445346 "- 在女祭司圣殿为地米斯托克利选择一个光环。"
445347 "- 夺回沿路的塔楼。"
445348 "- 寻找女祭司。"
445349 "<ORANGE>战斗在 %d 后打响"
445350 "阿提卡城镇"
