IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
396556 "[举行献祭] 出现符文石。已移除上一场献祭的加成。"
396557 "[举行献祭] 出现三枚符文石。已移除上一场献祭的加成。"
396558 "[举行献祭] 北欧剑士的食物费用减少 10，效果持续至下一场献祭。已移除上一场献祭的加成。"
396559 "[举行献祭] 狂战士与精锐狂战士对建筑造成的伤害 +5，效果持续至下一场献祭。已移除上一场献祭的加成。"
396560 "[举行献祭] 侍从战士与精锐侍从战士的攻击力 +2，效果持续至下一场献祭。已移除上一场献祭的加成。"
396561 "[举行献祭] 掷斧兵与精锐掷斧兵的射程 +1，效果持续至下一场献祭。已移除上一场献祭的加成。"
396562 "[举行献祭] 运输船的驻扎容量 +10，效果持续至下一场献祭。已移除上一场献祭的加成。"
396563 "[举行献祭] 船只在海上不会受到伤害，效果持续至下一场献祭。已移除上一场献祭的加成。"
396564 "[举行献祭] 献祭后一片寂静。上一场献祭的加成维持不变。"
396565 "自由人会议庭宣布拉格纳为国王。拉格纳现在可以招募到更强的战士，并且主持祈祷和祭祀。当国王的感觉可真好。"
396566 "战士大厅出现了新的单位。铁匠铺与码头出现了新的科技。还可以在战士大厅举行献祭，有概率获得符文石或加成。可以在异教祭坛向诸神祈祷。"
396567 "宗庭宣布拉格纳成为两个王国的国王。拉格纳现在权力滔天，最优秀的战士也加入了他的麾下。"
396568 "战士大厅出现了新的单位和升级。铁匠铺与码头出现了新的科技。"
396569 "作为三个王国的国王，拉格纳可以使用大型器械攻破城墙。"
396570 "现在可以让村民建造攻城武器厂，从而建造攻城锤了。"
396571 "可以在磨坊与长屋 (大庄园) 使用黄金来购买食物储备。"
396572 "一支云游部队来到了战士大厅。"
396573 "向奥丁祈祷"
396574 "向索尔祈祷"
396575 "向弗雷祈祷"
396576 "向洛基祈祷"
396577 "向<b>智慧之奥丁<b>祈祷 (<cost>)\n步兵单位获得奥丁的祝福，在 10 分钟内获得自动治疗。"
396578 "向<b>力量之索尔<b>祈祷 (<cost>)\n步兵单位获得索尔的祝福，在 10 分钟内生命值 +20。"
396579 "向<b>繁荣之弗雷<b>祈祷 (<cost>)\n农民、羊倌与渔民获得弗雷的祝福，在 10 分钟内产出翻倍。"
396580 "向<b>机缘之洛基<b>祈祷 (<cost>)\n掠夺者找到隐藏宝藏的概率提高，持续 10 分钟。"
396581 "奥丁回应了你的祈祷，赐下了智慧之愈。所有步兵单位获得自动治疗，持续 10 分钟。"
396582 "向奥丁祈祷的效果已在生效中。费用已退还。"
396583 "奥丁的祝福生效 %d 分钟。"
396584 "索尔回应了你的祈祷，增强了战士之躯。所有步兵的生命值 +20，持续 10 分钟。"
396585 "向索尔祈祷的效果已在生效中。费用已退还。"
396586 "索尔的祝福生效 %d 分钟。"
396587 "弗雷回应了你的祈祷，带来了繁荣之息。农民、羊倌与渔民产出翻倍，持续 10 分钟。"
396588 "向弗雷祈祷的效果已在生效中。费用已退还。"
396589 "弗雷的祝福生效 %d 分钟。"
396590 "洛基回应了你的祈祷，送来了机缘之风。突袭者找到隐藏宝藏的概率提高，持续 10 分钟。"
396591 "向洛基祈祷的效果已在生效中。费用已退还。"
396592 "洛基的祝福生效 %d 分钟。"
396593 "随着财富的积累和首领的垮台，越来越多的海盗头子和维京人开始兴风作浪，四处掠夺。这些维京人的劫掠只会变本加厉。"
396594 "拉格纳的传奇故事已经接近尾声......但仍有很多冒险在等待着我们，还有不少渡鸦也尚未填饱肚子。吟游诗人接下来会歌颂什么样的故事呢？"
396595 "你已经开始自由游戏，并可以继续完成目标。完成后，可以在战士大厅宣告胜利。"
396596 "宣布胜利"
396597 "宣告胜利并结束剧本。"
396598 "挑战约姆斯维京"
396599 "挑战约姆斯维京\n立誓击败约姆斯维京，对方将开始悍然入侵。击败约姆斯维京是剧本获胜的必要条件。建议至少拥有 80 个军事单位后再来挑战约姆斯维京。"
396600 "约姆斯维京人来了，奥丁的渡鸦在前方为他们的船只领航，它们渴望血流成河。"
396601 "约姆斯堡是约姆斯维京人的堡垒，这些维京人是众神之父奥丁的忠实信徒。通过这片水域时一定要小心。"
396602 "约姆斯维京人被征服了。与他们之前对自己的北方同胞迅速展开的血腥杀戮一样，他们现在又将怒火倾泻在拉格纳·洛德布罗克的敌人身上。"
396603 "+ 在战士大厅挑战约姆斯维京 (科技)。"
396604 "战士大厅 (约维克)"
396605 "拉格纳的传奇故事终于告一段落。吟游诗人会永远歌颂他的伟业。拉格纳·洛德布罗克将成为与贝奥武夫和屠龙者齐格弗里德齐名的大人物！"
396606 "拉格纳的传奇故事已经接近尾声，但还没有征服约姆斯维京人。只要击败奥丁的战士，拉格纳·洛德布罗克就会成为能与贝奥武夫和屠龙者齐格弗里德相提并论的大人物！"
396607 "在战士大厅宣告胜利即可退出剧本。"
396608 "在战士大厅挑战约姆斯维京即可开始剧本的最后一幕。研究“挑战约姆斯维京”科技。"
396609 "即便是坐拥高塔与城墙的巨大城市也无法抵挡拉格纳·洛德布罗克的进攻。在约克、伦登维克、雷恩、亚琛和巴黎，诸位国王的王座逐一被碾为一堆碎石。"
396610 "许多维京人都在突袭途中失去了性命，他们将在瓦尔霍尔的英雄祠享用供奉！"
396611 "主动献祭奖励：北欧剑士食物费用 -10"
396612 "主动献祭奖励：狂战士对建筑的伤害 +5"
396613 "主动献祭奖励：侍从战士攻击力 +2"
396614 "主动献祭奖励：掷斧兵射程 +1"
396615 "主动献祭奖励：运输船容量 +10"
396616 "主动献祭奖励：船只在海上不会受到伤害"
396617 "夜幕降临，战士们每晚都会像群狼一样战斗。(非英雄近战单位夜间攻击力 +2)"
396618 "黎明破晓，战士们夜间如同奔狼一般的狂怒消退了。到了下个夜晚，夜间的加成将会再度生效。"
396619 "撒克逊人和弗里斯兰人曾经与北方人一样敬畏世界树。但后来抵达这片土地的基督教祭司却将这些树木砍伐殆尽。 "
396620 "在这些大树的树桩上建造一座异教祭坛，以取悦诸神并获得符文石。"
396621 "突袭者占领了战士大厅，并自称为雅尔。夺回战士大厅，收回属于你的权力。"
396622 "人口上限降低。重新占领失去的战士大厅可以恢复人口上限。"
396623 "--霍达兰落入突袭者之手！--"
396624 "--西福尔落入突袭者之手！--"
396625 "--拉德落入突袭者之手！--"
396626 "--日德兰落入突袭者之手！--"
396627 "--里伯落入突袭者之手！--"
396628 "--海泽比落入突袭者之手！--"
396629 "--罗斯基勒落入突袭者之手！--"
396630 "--西约特兰落入突袭者之手！--"
396631 "--斯莫兰落入突袭者之手！--"
396632 "--贝格斯拉根落入突袭者之手！--"
396633 "--乌普兰落入突袭者之手！--"
396634 "贡纳尔·哈蒙达森"
396635 "贡纳尔·哈蒙达森在冰岛当上了酋长，不管是战斗、体育运动还是喝酒，都没有人是他的对手。"
396636 "瓦兰吉探险队"
396637 "派遣<b>瓦兰吉探险队<b> (<cost>)\n向东方派遣一支贸易探险队 (贸易船)，每次航行都能产生黄金。派遣的费用随派遣次数的增多而提高。"
396638 "--在东部建造贸易船--"
396639 "[派遣第一支瓦兰吉探险队] 一队热爱冒险的商人出发前往东方寻财。继续探险会耗费更多人力物力，但他们将带回大量黄金。"
396640 "瓦兰吉探险队的费用提高。每次派遣探险队都会导致费用提高。"
396641 "可以在外国的土地上 (比如英格兰) 建造战士大厅 (世界奇观)，从而在离敌人更近的地方训练战士。"
396642 "古斯鲁姆"
396643 "古斯鲁姆在争夺丹麦王位的过程中折戟了，为了夺取属于自己的王国，他又来到了英格兰。"
396644 "格里姆·坎班是来自于挪威的拓荒者，他活跃于爱尔兰的盖尔人之中，并在法罗群岛建立自己的长屋，于维京世界的一端安身立命。"
396645 "“深思者”奥德去了冰岛后迎来了自己的命运：成为了一名酋长和女族长。春去秋来，她的儿子“红色”索尔斯坦长大成人，成为了一名优秀的战士。"
396646 "哈斯泰因遇见了自己的命数：他在战斗中杀死了法兰克领主“强者”罗伯特，并在法兰克的土地上大肆劫掠。"
396647 "“首领”罗夫遇见了自己的命数：以掠夺者的身份前往了法兰西亚，同时也在法兰克人之间落脚定居了下来，并学习了当地人的文化。后人将他的领地叫做“诺曼底”，而他手下的战士则被称为诺曼人。"
396648 "拉格纳的子嗣们遇见了他们的命数：“无骨者”伊瓦尔、“白衫”哈夫丹以及乌巴都来到了英格兰，他们在此攻城略地，一路高歌猛进。"
396649 "“红色”索尔斯坦"
396650 "佩切涅格人"
396651 "举行献祭"
396652 "黄昏"
396653 "破晓"
396654 "战士大厅"
396655 "补给 (用黄金换取食物)"
396656 "在有闪光标记的区域建造长屋。"

// Ragnar (850)

398861 "“我们挥舞手中的剑！”"
398862 "这声呼喊过后，宴会大厅里顿时一片寂静。战士们捏着喝酒的号角，用发白的手指抠着橡木桌子，全都聚精会神地看着那个来自遥远北方的吟游诗人。即便在哪儿，他们也在传颂死去国王的事迹。"
398863 "“我们挥舞手中的剑！”"
398864 "紧张的气氛在空气中弥漫，就像一根从两头紧紧拉扯的线。这些言语在墙上挂着的剑盾之间回响着，也在用黄金圣物和宝石圣杯融锻而成的臂环之间回响着。这些圣物和圣杯都是战士们在那滚滚浓烟环绕着黑色渡鸦旗帜且尸体成堆的战场上劫掠而来。"
398865 "“我们挥舞手中的剑！”"
398866 "吟游诗人站起身来，战士们也与他站在一起，手里握着号角和剑柄。在火光的映衬下，暗影在他们的脸上肆意舞动，高高举起的长矛闪闪发光。吟游诗人讲述着国王的英勇事迹，战士们对此已然如数家珍，因为他们自己也曾一起穿越大海，像狼群一样在其他国家的海岸上肆意杀戮。"
398867 "“我们挥舞手中的剑！”"
398868 "战士们用剑敲打着橡木做的盾牌，比在巴黎城墙上能够听到的还要响亮。吟游诗人不需要再多说一句话，就可以在这片喧嚣之中听到他讲述的故事。强壮的战士们发出的敲击声就是最好的传奇故事，胜过吟游诗人那湿润的嘴唇中吐出的千言万语。"
398869 "谁人没有听过拉格纳·洛德布罗克的传奇故事。"
398871 "大厅里一片寂静。挂在墙上的盾牌和长剑也一样悄然无声，空气中没有一言一语让它们重复回响。一只老鼠从一条狭小的缝隙里探出头来闻东闻西，仿佛期待着这么空旷的大厅能让它肆意妄为。随后，它把头缩了回去。它虽然闻了闻，却听不到一点声音，那些人一动也不动。"
398872 "吟游诗人讲完了他的故事，战士们沉默地坐着，只剩下泪水从伤痕累累的脸颊上悄悄地滑落。吟游诗人歌颂了他们死去的国王…不！应该说是他们的兄弟，在这个尚武之地，还有什么能比得上人们在战场上一起出生入死更紧密的纽带吗？"
398873 "因为吟游诗人歌颂的并不是已经发生的事情，而是可能发生的事情。他没有讲述他们的国王是如何战败，掉入蛇坑身中巨毒，而是他如何征服并品尝到那些唯有众神和盖世无双的英雄才有资格获得的无上荣耀。"
398874 "这是一段名副其实的传奇故事。"

//
// Ironside (859)
//

396701 "科尔多瓦"
396702 "易弗里基叶"
396703 "库塔玛人"
396704 "罗马帝国"
396705 "意大利半岛"
396706 "法兰克王国"
396707 "维京人"
396708 "1. 你开局时的人口上限为 25 人，进入下一时代可以提高人口上限，并获得增强单位的能力。\n\n2. 突袭行动危险重重，尤其是比约恩麾下只有寥寥数人。尽量让麾下的突袭者靠近海岸，以便在敌人数量太多时立刻撤回船上，保住性命下次再来。\n\n3. 每一个维京传说中都有英雄的身影！找到赫维瑟克、哈拉尔德与罗洛可以大幅增强比约恩的部队力量。\n\n4. 每位英雄都可以训练独特单位：比约恩 (侍从战士)、哈斯泰因 (狂战士)、赫维瑟克 (答刺罕骑兵)、哈拉尔德 (掷斧兵)、罗洛 (靛蓝突袭者)。"
396709 "侦察兵报告：\n\n- 比约恩从法兰西南部的海岸开始行动。他的好友哈斯泰因已经离开去袭击附近的岛屿。\n\n- 比约恩北边是法兰西 (青色)，由查理曼的继承人统治。他们的作战单位有步兵、掷斧兵与骑兵。\n\n- 东南边是意大利 (蓝色)，由古代罗马人建立的富饶城邦组成，守卫力量有步弓手与长矛兵。\n\n- 意大利的南部领土落入了罗马帝国 (紫色) 之手，罗马帝国在遥远的东方统治着数个大城市。他们麾下的步兵、掷矛手和甲胄骑兵都是罗马旧军团的残部。\n\n- 在更远的南方，大海的另一端是易弗里基叶 (橙色) 的摩尔人，他们沿着南部海域的海岸线与岛屿生活。摩尔人会骑着骆驼上战场，从骆驼背上投掷标枪发起攻击。\n\n- 易弗里基叶以西是生活在南部沙漠的库塔玛人 (绿色)。他们都是勇猛的战士，手持弯刀徒步作战。\n\n- 最后再往西，是穆斯林世界的闪耀明珠——科尔多瓦 (黄色)。这片土地上最危险的战士是轻型骑兵和骑射手。"
396710 "战士据点"
396711 "科尔多瓦大清真寺"
396712 "宰图纳大清真寺"
396713 "圣母玛利亚大教堂"
396714 "圣德尼大教堂"
396715 "阿拉伯冠军剑士"
396716 "柏柏尔军阀"
396717 "军阀"
396718 "将军"
396719 "伦巴第公爵"
396720 "法兰克伯爵"
396721 "罗洛"
396722 "哈拉尔德"
396723 "赫维瑟克"
396724 "比约恩·艾恩赛德"
396725 "公主"
396726 "冬天已经结束，掠夺季节到来了。维京掠夺者哈斯泰因已经开始攻击附近的科西嘉岛。比约恩必须组建一支军队加入维京掠夺者。"
396727 "选择世界奇观来训练单位。"
396728 "比约恩必须争分夺秒！他必须在哈斯泰因带走岛上所有财富之前到达南部的科西嘉岛！"
396729 "维京掠夺者可以通过摧毁建筑掠夺足够多的黄金，用来扩充和增强他们的军队。修道院提供的黄金最多。"
396730 "但维京人不能以黄金为食！比约恩必须确保他的村民和捕鱼船收集到资源。有了足够的食物和黄金，他就能够在城镇中心升级到下一个时代。"
396731 "每个时代都会解锁新技术、更多村民以及拥有新单位的强化军队。例如：在城堡时代，比约恩可以训练近卫军。"
396732 "拉格纳之子，比约恩，你的世界无比广阔。肆意掠夺和征服吧！"
396733 "+ (<Wonders>/3) 摧毁罗马、科尔多瓦、突尼斯、巴黎或拉古萨的三座世界奇观。"
396734 "+ 摧毁 <Wonders>/3 座世界奇观。"
396735 "+ 拥有 <!Gold Storage>/5000 黄金。"
396736 "自由游戏：在城镇中心宣告胜利即可退出剧本。"
396737 "+ (<Heroes>/4) 找到英雄赫维瑟克、哈拉尔德、哈斯泰因与罗洛。"
396738 "+ 找到 <Heroes>/4 名北欧英雄。"
396739 "你已经开始自由游戏。完成游戏后，可以在城镇中心用特殊科技宣告胜利来退出剧本。"
396740 "- 找到并将 <Princesses>/5 位公主带到世界奇观处。"
396741 "- 探索次要任务。"
396742 "- 找到并将圣物推车带往世界奇观处。"
396743 "- 击杀 <Heroes Killed>/6 名敌方英雄。"
396744 "一位英雄负伤了，但又出现在了世界奇观处！"
396745 "对方要求用一大笔赎金赎回公主！"
396746 "伟大的维京英雄罗洛可能就在附近。他最后一次出现是在比利牛斯山脉的一个藏身处袭击法兰克人和摩尔人。"
396747 "赫维瑟克曾经冒险进入罗斯人的土地，在那里与斯拉夫人和马族人展开战斗。他就在东部的某个地方。"
396748 "哈拉尔德受到吉达热衷统治挪威的鼓舞，袭击了这片海岸，但最终被摩尔人所俘。他就被关押在附近。"
396749 "公主"
396750 "村民与一艘捕鱼船已经抵达。"
396751 "南部沙漠的绿洲里藏着一件古老的圣物。找到它并把它带到世界奇观，将其熔化成黄金！"
396752 "圣物因蕴藏的财富而惨遭熔化！"
396753 "正如北欧人拥有英雄一样，这片无潮海的人民也有属于他们自己的英雄。每个派系都有一个军阀，杀死军阀可以壮大比约恩的声名！"
396754 "胜利"
396755 "宣布胜利"
396756 "现在可以在城镇中心训练村民了。所有独特单位已升级为精锐。"
396757 "拉古萨大教堂"

// Ironside (859)

398881 "公元 859 年，拉格纳的儿子比约恩渡过了无潮海。"
398882 "他突袭了穆斯林西班牙，随后便在法兰克国土南部的海岸上过冬。在那里等待春天的到来，迎接下一个劫掠的季节。"
398883 "一支无可匹敌的军队即将在地中海沿岸和海滨城市登陆。"
398884 "维京人来了。"
398891 "比约恩袭击地中海的冒进举动，为北欧人打开了一个新世界。"
398892 "他们会在接下来的几十年间返回。届时，作为战士斩获的荣誉会让他们跻身高级雇佣兵的行列。部分北欧人甚至会为拜占庭皇帝效命，成立一支名为瓦兰吉人的精锐护卫队。"
398893 "几个世纪后，被称为诺曼人的北欧人将征服西西里，创建一个融合了诺曼人、希腊人、意大利人和伊斯兰人习俗的短暂王国。"
398894 "不过这场战争都是发生在比约恩突袭凯旋之后很久的事了。"
398895 "虽然很多阵亡的战士魂归英灵殿，那些安然返回北欧土地的战士都过上了富足的日子，再也无需依靠劫掠度日。"

//
// Finehair (870)
//

396801 "北欧人"
396802 "南方首领"
396803 "霍达兰"
396804 "西海诸王"
396805 "萨米部落"
396806 "丹麦人"
396807 "西方人"
396808 "1. 你开局的人口上限为 20 人，在哈拉尔的大厅中研究独特科技可以提高人口上限，最高可提升至 75 人。你不需要建造房屋。\n\n2. 除了提供人口，独特科技还会解锁新的单位与科技，并提供更多村民。\n\n3. 在当地鱼群消耗完后，可以在磨坊养猪，也可以利用好养鱼场。\n\n4. 龙头战舰的射程变短了，可以通过铁匠铺提高射程。\n\n5. 突袭行动危险重重，尤其是哈拉尔的麾下只有寥寥数人。在敌人数量过多时及时撤退，保住性命下次再来。\n\n6. 突袭丹麦人、霍达兰人和西方人可以获得更多黄金，不过他们土地上的防御也更强。\n\n7. 哈拉尔在受伤后会重生，但其他英雄无法重生。"
396809 "侦察兵报告：\n\n- 哈拉尔统治着挪威东南部的西福尔，北地的大部分地区都可通过西福尔前往。不过由于山脉众多，而且萨米部落活动频繁，所以走西福尔的陆路还是有一定的危险。走海路速度更快，通常情况下也更安全。\n\n- 南雅尔人 (绿色) 控制了东南方的哥塔兰。由于这伙人手头的船只不多，哈拉尔早期可以先对付他们。随着时间推移，他们的战士会装备上最好的盔甲。但由于远离法兰克钢的原产地，他们的武器供应始终不足。\n\n- 西海诸王 (青色) 统治着挪威海岸以及海对面的西部岛屿。他们的龙头战舰威力十足，而且狂战士也相当凶悍，能造成大量的伤害。不过他们穿得相对较少，缺乏护甲，所以身躯会比较脆弱。\n\n- 霍达兰人 (黄色) 的领主是实力强盛的埃里克国王，此地守卫森严，由英勇善战的侍从战士把守。由于霍达兰设有坚固的城门、塔楼与城堡，要是没有攻城武器，强攻此地将折损许多人手。\n\n- 丹麦人 (灰色) 统治着南边的日德兰。击败丹麦人并不意味着就能一统挪威，但却能从中获得不少好处。不过丹麦的防御也相当充分。\n\n- 并非所有的北欧人都敌视哈拉尔。东边有圣地乌普萨拉，位于菲里斯荒原沼泽地的北面。想前往圣地绝非易事，还需搭船横渡维纳恩湖。另外，一位名为鲁里克的维京人在远东建立了王国。去见下他或许能有不少收获。\n\n- 最后介绍的是西方人，他们定居在西边的苏格兰，此地有数座白色基督的圣殿，里面囤积着许多黄金。突袭西方人与他们的修道院可以获得大量财富，但对方的高地战士在战斗中的表现并不逊色于北欧勇士。"
396810 "受到吉达的挑战刺激后，哈拉尔发誓要征服挪威。但他必须先召集他的支持者。"
396811 "在哈拉尔的大厅 (大型棚屋) 中研究井喷。"
396812 "+ 在哈拉尔的大厅 (大型棚屋) 中研究井喷。"
396813 "+ 击败南方首领、西海诸王与霍达兰人，统一挪威。"
396814 "+ 研究 <Feast Count>/5 项独特科技。"
396815 "- 摧毁萨米人聚落。"
396816 "- 杀死狼王欧鲁。"
396817 "- 在菲里斯荒原中找到赫尔罗夫·克拉奇的黄金。"
396818 "- 找到一位祭司。"
396819 "- 突袭苏格兰。"
396820 "- 向西北方航行，寻找新的土地。"
396821 "- 将哈拉尔与一位村民带到乌普萨拉。"
396822 "- 将战士带往东边。"
396823 "- 击沉索乌·克洛夫的龙头战舰。"
396824 "自由游戏：在哈拉尔的大厅宣告胜利。"
396825 "+ 在哈拉尔的大厅宣告胜利。"
396826 "在一次盛大的宴会上，哈拉尔发誓，除非他统治整个挪威，否则他不会剪头发。"
396827 "他心中燃起了一团熊熊烈火，正是这样的激情激励伟大的人物去完成伟大的事业，书写英雄传奇的故事。"
396828 "哈拉尔发誓要完成吉达的挑战。"
396829 "等哈拉尔的名望提升后，就可以在此招募到强大的战士。现在哈拉尔只能培养长矛兵和北欧剑士。"
396830 "可以在此处饲养猪，不过猪需要一定时间成长。"
396831 "虽然锻造厂目前一片寂静，但等哈拉尔的名望提升后，就会有技艺精湛的铁匠前来投诚。"
396832 "哈拉尔的土地贫瘠，而且他几乎没有帮他采集资源的奴隶。他需要派遣他的军队去劫掠。"
396833 "摧毁敌方建筑可获得黄金。征服并向其他小型王国殖民可获得资源。"
396834 "研究独特科技可提高人口上限，并解锁单位和科技。"
396835 "现在可以在兵营训练狂战士，在码头建造龙头战舰了。封建时代的科技已开放使用。"
396836 "现在可以在兵营训练侍从战士，在靶场训练掷斧兵了。一位新英雄也抵达了战场。"
396837 "现在可以建造马厩并训练斥候骑兵与答刺罕骑兵了。城堡时代的科技已开放使用。"
396838 "帝王时代的科技已开放使用。一位新英雄也抵达了战场。"
396839 "所有单位已升级为精锐。"
396840 "北欧拓荒者的头颅在阳光下斑驳腐烂，警告着人们：北方是萨米部落、女巫和奥普兰兹和芬马克战士的领地。"
396841 "萨米人并没有什么战利品可劫掠，但是把他们赶出奥普兰可以让北欧猎人自由出入北部森林……进而壮大哈拉尔的王国。"
396842 "哈拉尔把萨米人从奥普兰兹赶走，向猎人和毛皮狩猎者开放了森林。现在，哈拉尔可以定期收到肉干了。"
396843 "据说，可怕的狼王欧鲁就住在这些山里。"
396844 "菲里斯荒原是乌普萨拉南部的沼泽平原，据说赫尔罗夫·克拉奇逃离瑞典国王时撒落黄金的地方。找到并开采这些黄金会为哈拉尔带来大量财富。"
396845 "哈拉尔找到了赫尔罗夫·克拉奇的黄金。只要派奴隶去开采，他就能填满金库。"
396846 "一个面容憔悴、饱经风霜的陌生人声称，在西北海岸发现了英灵殿。"
396847 "他的故事听起来可能有些愚蠢，但派几个人去追查这个英灵殿不会影响哈拉尔的名声。"
396848 "哈拉尔的手下在世界的边缘发现了一片冰火之地。那里不是英灵殿，但仍可能有用。"
396849 "祭司有时候会离开他们的部落，到荒野去祭拜神灵。如果能从这些人当中找到一位为哈拉尔效力，就可以为哈拉尔带来很高的声望。"
396850 "著名狂战士克维尔杜夫的儿子索罗夫希望加入哈拉尔，以帮助他们抵御附近的一个据点。索罗夫与他手下在附近等待。"
396851 "西海对岸的苏格兰土地上蕴藏着巨大的宝藏。在那里，白人基督的追随者们在他们的圣殿里囤积了黄金。"
396852 "苏格兰比挪威海岸更富饶。哈拉尔的勇士们要求进行更多的劫掠！"
396853 "从一开始，那些想要成为国王的人就前往乌普萨拉接受弗雷之神的祝福。最虔诚的人会向这位神灵献上血与肉。"
396854 "哈罗德应该去...带一个祭品来。"
396855 "献祭的鲜血让弗雷之神很高兴。众神之父奥丁派了一只乌鸦去找哈拉尔。这只鸟将向哈拉尔展示他尚未踏足的地方。"
396856 "奥丁也保佑着哈拉尔本人，增强他的体魄，抵御敌人的攻击。"
396857 "乌普萨拉的神庙俯瞰着一片神圣的树林，那里矗立着一棵巨大的树，树枝上挂着九具尸体。"
396858 "故事发生在东边，一位名叫鲁里克的人自立为王。哈拉尔的一些战士们希望与鲁里克一起，去东边的霍尔姆加德聚落冒险。"
396859 "虽然路途遥远，但战士们将学习在异国他乡作战的方法。"
396860 "可怕的瓦兰吉人曾与鲁里克一起与斯拉夫和东方马王作战。他们将在要塞受雇加入哈拉尔的阵营。"
396861 "在一次劫掠的熊熊大火之中，哈拉尔的手下找到了一个名为“扁鼻”凯提尔的维京人，他是比约恩‧格里姆森的儿子。他带领自己的军队宣誓效忠哈拉尔。"
396862 "“扁鼻”凯提尔警告哈拉尔，奥克尼和设德兰的海王们正在他们西部岛屿集结以组建一支劫掠舰队。凯提尔要求领导一次对他们的劫掠。"
396863 "一个名叫索乌·克洛夫的野蛮海王劫掠了忠于哈拉尔的雅尔人的据点。哈拉尔发誓要将他和他的龙头战舰葬送海底。"
396864 "大海的巨浪索乌·克洛夫送进了他的海底坟墓。"
396865 "哈拉尔的手下在西福尔附近的森林里发现了一只麋鹿猎犬。哈拉尔收留了这只猎犬，并给它取名叫芬里厄。"
396866 "麋鹿猎犬芬里厄胆小得不敢上船。不管怎样，它算是一只挺不错的看门狗和猎犬。"
396867 "这些水域风平浪静，但丹麦人在更靠南的地方防守。哈拉尔需要将龙头战舰冒险靠近丹麦水域。"
396868 "劫掠丹麦会让哈拉尔和他的战士们变得富有。 "
396869 "丹麦人的据点已成为一片废墟，哈拉尔向世人证明北方人可以战胜丹麦人！"
396870 "有人在一座岛上发现了三名失踪的维京人。他们讲述了一个关于住在星星上的绿人的离奇故事。"
396871 "尽管吉达的父亲国王埃里克战败，但这位霍达兰国王的女儿仍不为所动。哈拉尔仍然需要统一整个挪威，并不停举办盛宴来赢得她的芳心。"
396872 "雅尔人被击垮了，海王们都被废掉了，而霍达兰也被烧成了废墟。当“金发”哈拉尔举行凯旋宴会时，欢呼声响彻大殿。"
396873 "现在，整个挪威都是他的了...吉达也是如此，这位勇敢的女人的挑战使这一切成为了可能。"
396874 "但是，还有哪儿的土地可以劫掠和征服？"
396875 "你已经开始自由游戏。完成游戏后，可以在哈拉尔的大厅宣告胜利。"
396876 "宣布胜利"
396877 "龙头战舰是维京人的战船，它的速度快但攻击范围较小，不适合与陆上单位作战。由于它的视野范围广阔，因此可以很好地完成侦察任务。"
396878 "在铁匠铺研究步弓手科技，以提高龙头战舰的攻击范围。"
396879 "萨米战士"
396880 "索罗尔夫·克维尔多夫松"
396881 "“扁鼻”凯提尔"
396882 "索乌·克洛夫"
396883 "乌普萨拉圣殿"
396884 "迅捷的艾瑞克"
396885 "凶猛的巴洛格"
396886 "坚实的奥拉夫"
396887 "哈拉尔的大厅"
396888 "萨米棚屋"
396889 "古斯鲁姆"
396890 "吉达·埃里克斯多蒂"
396891 "哈拉尔"
396892 "饲养<b>猪<b> (<cost>)\n肥硕的杂食性动物，可以宰杀获取肉食。\n<hp>"
396893 "“金发”哈拉尔"
396894 "哈康·格里奥特加森"
396895 "拉格瓦尔德·埃斯坦森"
396896 "芬里厄"
396897 "“金发”哈拉尔"

// Finehair (870)

398901 "一位女武神在一棵古老的橡树旁休息，看到一只乌鸦停在细弱的树枝上。乌鸦的喙染满了鲜血，爪子上挂着血肉。"
398902 "“你从哪来，乌鸦？”女武神问到，“你那沾血的羽毛满是死人肉的臭味。”"
398903 "灰色的乌鸦得意洋洋地擦拭着它的喙。“我一路跟随着哈拉尔。”"
398904 "在女武神遇到乌鸦之前，年轻的哈拉尔统治着挪威境内的一个小王国。他的财富包括成群的生猪和满港的渔船，但他渴望赢得某位国王女儿的芳心。"
398905 "他派出他的叔叔古斯鲁姆，去向国王埃里克的女儿吉达求婚。"
398906 "当古斯鲁姆阐明来意时，吉达高昂着她的头，撇着嘴作出了答复。她的话如一根灰烬长矛，直刺人心。"
398907 "“哪来的这么个占山为王的无名之辈？”她问到，“一下这里一个王，一下那里一个王，整个挪威都有好几百个所谓的王了！就没一个有本事称霸整个挪威的吗？”"
398908 "“把这则消息告诉你的哈拉尔：除非他为我把整个挪威收归其治下，否则我不会成为他的妻子。”"
398909 "老古斯鲁姆回到哈拉尔身边，把吉达的消息告诉了他。这位年轻人笑了笑，仿佛想起了某件几乎被他遗忘的事。"
398910 "就这个吗，古斯鲁姆？他笑得更甚了。整个挪威的王！我们怎么没想到呢？"
398911 "哈拉尔摸着他的头发发誓道：“除非整个挪威都归我所有，且吉达成为我的妻子，否则我将永不剪发。准备一场盛宴，古斯鲁姆。我们要好好招待下最一流的战士，因为之后需要他们为我浴血征战。”"
398921 "装点着红色盾牌，有着张牙舞爪的龙形桅杆和雕花船舷的大船，以及手持西方长矛和法兰克宝剑的人......"
